question_text,category,survey_organisation,country,fieldwork_date,agreement,neutral,disagreement,n_respondents,response_scale,notes,source_file,extraction_date,non_response,data_quality,quality_issues
"Before today, had you heard of the use of AI technologies for... Facial recognition for unlocking phones",AI_Knowledge,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,2022-11-01,93.0,2.0,6.0,4002.0,"Yes, Not sure / Prefer not to say, No","A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began.",kantar_nov_2022.pdf,2025-07-06,,high,[]
"Before today, had you heard of the use of AI technologies for... Driverless cars",AI_Knowledge,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,2022-11-01,92.0,1.0,7.0,2021.0,"Yes, Not sure / Prefer not to say, No","A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began.",kantar_nov_2022.pdf,2025-07-06,,high,[]
"Before today, had you heard of the use of AI technologies for... Robotic vacuum cleaners",AI_Knowledge,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,2022-11-01,89.0,2.0,9.0,2029.0,"Yes, Not sure / Prefer not to say, No","A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began.",kantar_nov_2022.pdf,2025-07-06,,high,[]
"Before today, had you heard of the use of AI technologies for... Targeted consumer advertising",AI_Knowledge,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,2022-11-01,87.0,4.0,9.0,2002.0,"Yes, Not sure / Prefer not to say, No","A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began.",kantar_nov_2022.pdf,2025-07-06,,high,[]
"Before today, had you heard of the use of AI technologies for... Smart speakers",AI_Knowledge,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,2022-11-01,82.0,4.0,14.0,2011.0,"Yes, Not sure / Prefer not to say, No","A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began.",kantar_nov_2022.pdf,2025-07-06,,high,[]
"Before today, had you heard of the use of AI technologies for... Facial recognition for policing",AI_Knowledge,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,2022-11-01,80.0,4.0,16.0,1987.0,"Yes, Not sure / Prefer not to say, No","A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began.",kantar_nov_2022.pdf,2025-07-06,,high,[]
"Before today, had you heard of the use of AI technologies for... Facial recognition for border control",AI_Knowledge,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,2022-11-01,71.0,3.0,26.0,2015.0,"Yes, Not sure / Prefer not to say, No","A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began.",kantar_nov_2022.pdf,2025-07-06,,high,[]
"Before today, had you heard of the use of AI technologies for... Targeted political advertising",AI_Knowledge,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,2022-11-01,67.0,7.0,26.0,2000.0,"Yes, Not sure / Prefer not to say, No","A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began.",kantar_nov_2022.pdf,2025-07-06,,high,[]
"Before today, had you heard of the use of AI technologies for... Virtual reality in education",AI_Knowledge,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,2022-11-01,59.0,7.0,34.0,1987.0,"Yes, Not sure / Prefer not to say, No","A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began.",kantar_nov_2022.pdf,2025-07-06,,high,[]
"Before today, had you heard of the use of AI technologies for... Autonomous weapons",AI_Knowledge,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,2022-11-01,58.0,7.0,35.0,1981.0,"Yes, Not sure / Prefer not to say, No","A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began.",kantar_nov_2022.pdf,2025-07-06,,high,[]
"Before today, had you heard of the use of AI technologies for... Virtual healthcare assistants",AI_Knowledge,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,2022-11-01,44.0,8.0,48.0,1991.0,"Yes, Not sure / Prefer not to say, No","A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began.",kantar_nov_2022.pdf,2025-07-06,,high,[]
"Before today, had you heard of the use of AI technologies for... Climate research simulations",AI_Knowledge,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,2022-11-01,42.0,9.0,49.0,2015.0,"Yes, Not sure / Prefer not to say, No","A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began.",kantar_nov_2022.pdf,2025-07-06,,high,[]
"Before today, had you heard of the use of AI technologies for... Assessing loan repayment risk",AI_Knowledge,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,2022-11-01,35.0,9.0,56.0,1991.0,"Yes, Not sure / Prefer not to say, No","A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began.",kantar_nov_2022.pdf,2025-07-06,,high,[]
"Before today, had you heard of the use of AI technologies for... Assessing job eligibility",AI_Knowledge,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,2022-11-01,35.0,5.0,60.0,1990.0,"Yes, Not sure / Prefer not to say, No","A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began.",kantar_nov_2022.pdf,2025-07-06,,high,[]
"Before today, had you heard of the use of AI technologies for... Assessing risk of cancer",AI_Knowledge,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,2022-11-01,34.0,5.0,61.0,2011.0,"Yes, Not sure / Prefer not to say, No","A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began.",kantar_nov_2022.pdf,2025-07-06,,high,[]
"Before today, had you heard of the use of AI technologies for... Robotic care assistants",AI_Knowledge,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,2022-11-01,32.0,7.0,61.0,1973.0,"Yes, Not sure / Prefer not to say, No","A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began.",kantar_nov_2022.pdf,2025-07-06,,high,[]
"Before today, had you heard of the use of AI technologies for... Assessing welfare eligibility",AI_Knowledge,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,2022-11-01,19.0,5.0,76.0,2012.0,"Yes, Not sure / Prefer not to say, No","A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began.",kantar_nov_2022.pdf,2025-07-06,,high,[]
How much personal experience have you had with this technology? Targeted consumer advertising,AI_Knowledge,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,2022-11-01,81.0,3.0,16.0,2002.0,"A lot, Some, Not sure / Prefer not to say, None","A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began.",kantar_nov_2022.pdf,2025-07-06,,high,[]
How much personal experience have you had with this technology? Smart speakers,AI_Knowledge,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,2022-11-01,64.0,4.0,32.0,2011.0,"A lot, Some, Not sure / Prefer not to say, None","A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began.",kantar_nov_2022.pdf,2025-07-06,,high,[]
How much personal experience have you had with this technology? Facial recognition for unlocking phones,AI_Knowledge,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,2022-11-01,62.0,1.0,37.0,4002.0,"A lot, Some, Not sure / Prefer not to say, None","A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began.",kantar_nov_2022.pdf,2025-07-06,,high,[]
How much personal experience have you had with this technology? Facial recognition for border control,AI_Knowledge,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,2022-11-01,59.0,2.0,39.0,2015.0,"A lot, Some, Not sure / Prefer not to say, None","A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began.",kantar_nov_2022.pdf,2025-07-06,,high,[]
How much personal experience have you had with this technology? Targeted political advertising,AI_Knowledge,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,2022-11-01,48.0,10.0,42.0,2000.0,"A lot, Some, Not sure / Prefer not to say, None","A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began.",kantar_nov_2022.pdf,2025-07-06,,high,[]
How much personal experience have you had with this technology? Virtual healthcare assistants,AI_Knowledge,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,2022-11-01,28.0,7.0,65.0,1991.0,"A lot, Some, Not sure / Prefer not to say, None","A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began.",kantar_nov_2022.pdf,2025-07-06,,high,[]
How much personal experience have you had with this technology? Assessing loan repayment risk,AI_Knowledge,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,2022-11-01,24.0,10.0,66.0,1991.0,"A lot, Some, Not sure / Prefer not to say, None","A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began.",kantar_nov_2022.pdf,2025-07-06,,high,[]
How much personal experience have you had with this technology? Virtual reality in education,AI_Knowledge,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,2022-11-01,22.0,7.0,71.0,1987.0,"A lot, Some, Not sure / Prefer not to say, None","A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began.",kantar_nov_2022.pdf,2025-07-06,,high,[]
How much personal experience have you had with this technology? Robotic vacuum cleaners,AI_Knowledge,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,2022-11-01,21.0,1.0,78.0,2029.0,"A lot, Some, Not sure / Prefer not to say, None","A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began.",kantar_nov_2022.pdf,2025-07-06,,high,[]
How much personal experience have you had with this technology? Assessing job eligibility,AI_Knowledge,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,2022-11-01,17.0,7.0,76.0,1990.0,"A lot, Some, Not sure / Prefer not to say, None","A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began.",kantar_nov_2022.pdf,2025-07-06,,high,[]
How much personal experience have you had with this technology? Facial recognition for policing,AI_Knowledge,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,2022-11-01,12.0,5.0,83.0,1987.0,"A lot, Some, Not sure / Prefer not to say, None","A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began.",kantar_nov_2022.pdf,2025-07-06,,high,[]
How much personal experience have you had with this technology? Assessing welfare eligibility,AI_Knowledge,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,2022-11-01,11.0,7.0,82.0,2012.0,"A lot, Some, Not sure / Prefer not to say, None","A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began.",kantar_nov_2022.pdf,2025-07-06,,high,[]
How much personal experience have you had with this technology? Assessing risk of cancer,AI_Knowledge,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,2022-11-01,8.0,4.0,88.0,2011.0,"A lot, Some, Not sure / Prefer not to say, None","A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began.",kantar_nov_2022.pdf,2025-07-06,,high,[]
To what extent do you think that the use of this technology will be beneficial? Assessing risk of cancer,AI_Sentiment,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,2022-11-01,88.0,,5.0,2011.0,"Very, Somewhat, Not very, Not at all, Don't know / Prefer not to say","A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began.",kantar_nov_2022.pdf,2025-07-06,7.0,high,[]
To what extent do you think that the use of this technology will be beneficial? Facial recognition for border control,AI_Sentiment,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,2022-11-01,87.0,,8.0,2015.0,"Very, Somewhat, Not very, Not at all, Don't know / Prefer not to say","A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began.",kantar_nov_2022.pdf,2025-07-06,5.0,high,[]
To what extent do you think that the use of this technology will be beneficial? Facial recognition for policing,AI_Sentiment,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,2022-11-01,86.0,,7.0,1987.0,"Very, Somewhat, Not very, Not at all, Don't know / Prefer not to say","A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began.",kantar_nov_2022.pdf,2025-07-06,7.0,high,[]
To what extent do you think that the use of this technology will be beneficial? Facial recognition for unlocking phones,AI_Sentiment,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,2022-11-01,79.0,,18.0,4002.0,"Very, Somewhat, Not very, Not at all, Don't know / Prefer not to say","A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began.",kantar_nov_2022.pdf,2025-07-06,4.0,high,[]
To what extent do you think that the use of this technology will be beneficial? Virtual reality in education,AI_Sentiment,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,2022-11-01,76.0,,11.0,1987.0,"Very, Somewhat, Not very, Not at all, Don't know / Prefer not to say","A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began.",kantar_nov_2022.pdf,2025-07-06,13.0,high,[]
To what extent do you think that the use of this technology will be beneficial? Climate research simulations,AI_Sentiment,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,2022-11-01,74.0,,11.0,2015.0,"Very, Somewhat, Not very, Not at all, Don't know / Prefer not to say","A nationally representative survey of public attitudes to artificial intelligence in Britain. Sample drawn from Kantar Public Voice random probability panel. Majority completed online, 252 by telephone. Data weighted based on official statistics. Modular questionnaire structure, each person responded to 9 of 17 AI uses. Survey predominantly close-ended questions. Fieldwork: November-December 2022. ChatGPT released two weeks after fieldwork began.",kantar_nov_2022.pdf,2025-07-06,15.0,high,[]
